order_id,customer_id,order_placement_date,on_time,in_full,otif
FMR32103503,789103,01-Mar-22,1,0,0
FMR34103403,789103,01-Mar-22,1,0,0
FMR32103602,789103,01-Mar-22,1,0,0
FMR33103602,789103,01-Mar-22,1,0,0
FMR33103401,789103,01-Mar-22,1,0,0
FMR34903603,789903,01-Mar-22,1,0,0
FMR32903403,789903,01-Mar-22,1,0,0
FMR33903601,789903,01-Mar-22,1,0,0
FMR32702601,789702,01-Mar-22,1,0,0
FMR34702502,789702,01-Mar-22,1,0,0
FMR34702602,789702,01-Mar-22,1,0,0
FMR33702302,789702,01-Mar-22,1,0,0
FMR34601402,789601,01-Mar-22,1,0,0
FMR33601303,789601,01-Mar-22,1,0,0
FMR32601103,789601,01-Mar-22,1,0,0
FMR33301301,789301,01-Mar-22,1,0,0
FMR34301602,789301,01-Mar-22,1,0,0
FMR32301603,789301,01-Mar-22,1,0,0
FMR33203603,789203,01-Mar-22,1,0,0
FMR34621103,789621,01-Mar-22,1,0,0
FMR33101403,789101,01-Mar-22,1,0,0
FMR34102602,789102,01-Mar-22,1,0,0
FMR32102602,789102,01-Mar-22,1,0,0
FMR33902203,789902,01-Mar-22,1,0,0
FMR34201202,789201,01-Mar-22,1,0,0
FMR33201602,789201,01-Mar-22,1,0,0
FMR33202502,789202,01-Mar-22,1,0,0
FMR32202603,789202,01-Mar-22,1,0,0
FMR34321602,789321,01-Mar-22,1,0,0
FMR33321602,789321,01-Mar-22,1,0,0
FMR32402602,789402,01-Mar-22,1,0,0
FMR34402202,789402,01-Mar-22,1,0,0
FMR32221603,789221,01-Mar-22,1,0,0
FMR33221503,789221,01-Mar-22,1,0,0
FMR34703602,789703,01-Mar-22,1,0,0
FMR33401603,789401,01-Mar-22,1,0,0
FMR34622602,789622,01-Mar-22,1,0,0
FMR32622502,789622,01-Mar-22,1,0,0
FMR32622503,789622,01-Mar-22,1,0,0
FMR34622101,789622,01-Mar-22,1,0,0
FMR33320501,789320,01-Mar-22,1,0,0
FMR34721503,789721,01-Mar-22,1,0,0
FMR32721603,789721,01-Mar-22,1,0,0
FMR34122402,789122,01-Mar-22,1,0,0
FMR33220603,789220,01-Mar-22,1,0,0
FMR32220503,789220,01-Mar-22,1,0,0
FMR34520301,789520,01-Mar-22,1,0,0
FMR32520603,789520,01-Mar-22,1,0,0
FMR32501601,789501,01-Mar-22,1,0,0
FMR33501401,789501,01-Mar-22,1,0,0
FMR32503401,789503,01-Mar-22,1,0,0
FMR33503502,789503,01-Mar-22,1,0,0
FMR33403501,789403,01-Mar-22,1,0,0
FMR34421301,789421,01-Mar-22,1,0,0
FMR32421601,789421,01-Mar-22,1,0,0
FMR34303602,789303,01-Mar-22,1,0,0
FMR32121102,789121,01-Mar-22,1,0,0
FMR34121501,789121,01-Mar-22,1,0,0
FMR32522303,789522,01-Mar-22,1,0,0
FMR33522202,789522,01-Mar-22,1,0,0
FMR32420403,789420,01-Mar-22,1,0,0
FMR34420303,789420,01-Mar-22,1,0,0
FMR32622402,789622,01-Mar-22,0,0,0
FMR34201201,789201,01-Mar-22,0,0,0
FMR32902601,789902,01-Mar-22,0,0,0
FMR32402303,789402,01-Mar-22,0,0,0
FMR32203101,789203,01-Mar-22,0,0,0
FMR33320202,789320,01-Mar-22,0,0,0
FMR34902103,789902,01-Mar-22,0,0,0
FMR34721502,789721,01-Mar-22,0,0,0
FMR34720402,789720,01-Mar-22,0,0,0
FMR33601202,789601,01-Mar-22,0,0,0
FMR32903603,789903,01-Mar-22,0,0,0
FMR33521201,789521,01-Mar-22,0,0,0
FMR34522403,789522,01-Mar-22,0,0,0
FMR34522601,789522,01-Mar-22,0,0,0
